,,,EleD_01,HydD1,EleD_02,EleD_03,EleD_04,EleD_05,EleD_06,EleD_07,EleD_08,EleD_09,EleD_10
period1,sc01,t0061, 0.228972228447569 ,, 0.207885512789838 , 3.06582580671589 , 0.214662942028886 , 0.240426351833534 , 4.0265642181116 , 0.246588363338969 , 0.234593232857321 , 0.265560534786999 , 0.262748506100724 
period1,sc01,t0062, 0.315797193461725 ,, 0.219154201257122 , 0.240491680918715 , 0.243483805314919 , 0.210269153018039 , 0.251371327237472 , 0.251143567681497 , 0.257322534147099 , 0.252394633875205 , 0.226838030053119 
period1,sc01,t0063, 0.196072223978981 ,, 0.310456456679488 , 0.229560026283765 , 0.210548063443161 , 0.30284805602045 , 3.69875967908398 , 0.262580545165038 , 0.245910216487217 , 4.04553191853843 , 0.238187609915515 
period1,sc01,t0064, 0.318194009426595 ,, 0.304950595500638 , 0.244220596172247 , 0.223257749437314 , 0.329725696590612 , 5.46478861593659 , 0.250221815256561 , 3.34037302135016 , 0.252385349009381 , 3.29468637130453 
period1,sc01,t0065, 0.206767488377596 ,, 0.209479095866976 , 0.24149889860043 , 0.238577527313677 , 0.211674538190194 , 0.243992520538882 , 0.256175251493547 , 3.20966598332566 , 3.53239792466003 , 3.46994301735678 
period1,sc01,t0066, 0.216791176988872 ,, 0.209751878337939 , 0.222487892089658 , 0.458724284843054 , 0.540803443788504 , 0.623773925401994 , 3.72961419501646 , 0.26118742085346 , 0.238281030820133 , 0.498295845382416 
period1,sc01,t0067, 0.231904689589072 ,, 4.47474885624992 , 4.13873093592983 , 0.572123156781254 , 0.517595933692934 , 0.266560908921852 , 0.523934207524111 , 3.75194515324264 , 6.00138753614763 , 3.57900066142976 
period1,sc01,t0068, 0.409267822781121 ,, 0.44578631813365 , 0.452699046433214 , 0.310381171198481 , 0.471022321730513 , 2.32273068396024 , 3.58469319620668 , 0.533974113309658 , 0.535339570643715 , 2.09257327518423 
period1,sc01,t0069, 0.537279303967155 ,, 0.54886103097881 , 0.244317819717708 , 0.317810199216508 , 3.86084837713621 , 0.373579364186821 , 3.98799892105714 , 3.27911227315718 , 4.80939253632438 , 0.247408242960111 
period1,sc01,t0070, 0.22788491485465 ,, 0.289711617513789 , 0.240107545507884 , 0.211131949256929 , 0.222680464868313 , 0.396383662289262 , 4.00371115358548 , 3.46775891085897 , 0.39030217578322 , 0.393116548892783 
period1,sc01,t0071, 0.406963662174831 ,, 0.220193884547834 , 0.250248213347195 , 0.309013776412021 , 0.469718672237179 , 0.254015721568087 , 0.532938384542611 , 0.386322042878912 , 4.03022550190398 , 3.18822640962957 
period1,sc01,t0072, 0.213035625635379 ,, 0.216546960477025 , 0.212216190978112 , 0.250872631228834 , 0.251039210086051 , 3.54820263236494 , 0.278206834918337 , 0.231347794359834 , 0.249742201532697 , 0.244149446687829 
period1,sc01,t0073, 0.207271805813275 ,, 0.217336149519632 , 0.217174732344123 , 0.222600695456934 , 0.222610583039141 , 3.32036413591451 , 0.254892771852868 , 0.259283485129341 , 0.261215301778791 , 0.243764802880599 
period1,sc01,t0074, 0.205498452912892 ,, 0.207535451909334 , 0.242670236116189 , 0.211832074589684 , 0.24025307152909 , 3.72957683314223 , 3.93552735660419 , 0.23396780305747 , 0.266637260162759 , 3.66165100853504 
period1,sc01,t0075, 0.229913352972609 ,, 0.228083464233128 , 0.204588839981631 , 0.23344486601754 , 0.211307188980916 , 0.257827820700097 , 0.264580955634327 , 0.262843824643533 , 2.60234496384556 , 0.226418767274803 
period1,sc01,t0076, 0.228029019794287 ,, 0.21861425661731 , 0.222093031930772 , 0.239819732185506 , 0.487472800013956 , 0.251525277998834 , 0.252145027703955 , 3.85453136437707 , 3.37848761367399 , 0.255139682776604 
