,,,BESS_01,Wind_01,FC_01
period1,sc01,t0414,1,0.33824572647166723,1.0
period1,sc01,t0415,1,0.308985814289443,1.0
period1,sc01,t0416,1,0.2857019539009475,1.0
period1,sc01,t0417,1,0.22447079335514314,1.0
period1,sc01,t0418,1,0.17145602719585676,1.0
period1,sc01,t0419,1,0.07143692241887839,1.0
period1,sc01,t0420,1,0.05888102853148857,1.0
period1,sc01,t0421,1,0.04851239432447457,1.0
period1,sc01,t0422,1,0.06644574654077476,1.0
period1,sc01,t0423,1,0.09972595480929741,1.0
period1,sc01,t0424,1,0.15281231225657502,1.0
period1,sc01,t0425,1,0.16105206369976363,1.0
period1,sc01,t0426,1,0.15827972619110076,1.0
period1,sc01,t0427,1,0.16644789507538657,1.0
period1,sc01,t0428,1,0.15439389232224918,1.0
period1,sc01,t0429,1,0.1399680396984581,1.0
period1,sc01,t0430,1,0.13792016153973555,1.0
period1,sc01,t0431,1,0.08051552163174744,1.0
period1,sc01,t0432,1,0.07992942195201705,1.0
period1,sc01,t0433,1,0.07047494601535718,1.0
period1,sc01,t0434,1,0.058372043891942255,1.0
period1,sc01,t0435,1,0.07371228147803695,1.0
period1,sc01,t0436,1,0.09030973821215302,1.0
period1,sc01,t0437,1,0.11108482030918936,1.0
period1,sc01,t0438,1,0.11697943045788603,1.0
period1,sc01,t0439,1,0.1066331534142177,1.0
period1,sc01,t0440,1,0.08876876323555108,1.0
period1,sc01,t0441,1,0.07569913868433037,1.0
period1,sc01,t0442,1,0.10582745127194754,1.0
period1,sc01,t0443,1,0.03716451237005586,1.0
period1,sc01,t0444,1,0.02760726631912749,1.0
period1,sc01,t0445,1,0.02360455691247846,1.0
period1,sc01,t0446,1,0.023248747507880432,1.0
period1,sc01,t0447,1,0.00887451758172072,1.0
period1,sc01,t0448,1,0.0011737503106475401,1.0
period1,sc01,t0449,1,0.00103382309085498,1.0
period1,sc01,t0450,1,0.00035233541842707,1.0
period1,sc01,t0451,1,0.00066063198326418,1.0
period1,sc01,t0452,1,0.016896021947172362,1.0
period1,sc01,t0453,1,0.03053070684796023,1.0
period1,sc01,t0454,1,0.03496958967804867,1.0
period1,sc01,t0455,1,0.043896966373079375,1.0
period1,sc01,t0456,1,0.04977068419852722,1.0
period1,sc01,t0457,1,0.04817663483279382,1.0
period1,sc01,t0458,1,0.034794763952412246,1.0
period1,sc01,t0459,1,0.033682554038408044,1.0
period1,sc01,t0460,1,0.05589164033309376,1.0
period1,sc01,t0461,1,0.08268819972482493,1.0
period1,sc01,t0462,1,0.12395972019847644,1.0
period1,sc01,t0463,1,0.13800012092715225,1.0
period1,sc01,t0464,1,0.1465827358419164,1.0
period1,sc01,t0465,1,0.1679127443905871,1.0
period1,sc01,t0466,1,0.17375031839235827,1.0
period1,sc01,t0467,1,0.1535868750171844,1.0
period1,sc01,t0468,1,0.15250428825324175,1.0
period1,sc01,t0469,1,0.14231235424848876,1.0
period1,sc01,t0470,1,0.140646585913463,1.0
period1,sc01,t0471,1,0.1508572941210107,1.0
period1,sc01,t0472,1,0.17563035171498895,1.0
period1,sc01,t0473,1,0.20333026835777898,1.0
period1,sc01,t0474,1,0.22281196724367147,1.0
period1,sc01,t0475,1,0.2370595196576169,1.0
period1,sc01,t0476,1,0.24912785123403391,1.0
period1,sc01,t0477,1,0.2427831369586884,1.0
period1,sc01,t0478,1,0.22580317888248969,1.0
period1,sc01,t0479,1,0.20486973815260803,1.0
period1,sc01,t0480,1,0.17658514674738993,1.0
period1,sc01,t0481,1,0.12274364914953596,1.0
period1,sc01,t0482,1,0.11297939702121487,1.0
period1,sc01,t0483,1,0.0752366009781558,1.0
period1,sc01,t0484,1,0.042888074652542525,1.0
period1,sc01,t0485,1,0.0473485539691251,1.0
period1,sc01,t0486,1,0.05936834618575047,1.0
period1,sc01,t0487,1,0.0505725638089716,1.0
period1,sc01,t0488,1,0.05960453822259228,1.0
period1,sc01,t0489,1,0.09469755146533176,1.0
period1,sc01,t0490,1,0.1433099617740371,1.0
period1,sc01,t0491,1,0.15954727187851778,1.0
period1,sc01,t0492,1,0.1752141979771878,1.0
period1,sc01,t0493,1,0.19027010435815736,1.0
period1,sc01,t0494,1,0.20196708326772742,1.0
period1,sc01,t0495,1,0.24115791906183437,1.0
period1,sc01,t0496,1,0.2475863568373874,1.0
period1,sc01,t0497,1,0.23327090144580861,1.0
period1,sc01,t0498,1,0.24266186539377937,1.0
period1,sc01,t0499,1,0.2523372176248275,1.0
period1,sc01,t0500,1,0.2942823669975729,1.0
period1,sc01,t0501,1,0.3636568610255601,1.0
period1,sc01,t0502,1,0.3894326320017049,1.0
period1,sc01,t0503,1,0.2737177139416132,1.0
period1,sc01,t0504,1,0.3609882801241566,1.0
period1,sc01,t0505,1,0.3235277877939737,1.0
period1,sc01,t0506,1,0.2655101274755713,1.0
period1,sc01,t0507,1,0.2632673090289484,1.0
period1,sc01,t0508,1,0.2739387047849342,1.0
period1,sc01,t0509,1,0.26341651216840684,1.0
period1,sc01,t0510,1,0.20556142822253215,1.0
period1,sc01,t0511,1,0.1883194772757191,1.0
period1,sc01,t0512,1,0.1668708802555552,1.0
period1,sc01,t0513,1,0.17582175495613342,1.0
period1,sc01,t0514,1,0.2183124285881656,1.0
period1,sc01,t0515,1,0.18630440799736186,1.0
period1,sc01,t0516,1,0.23058507726052122,1.0
period1,sc01,t0517,1,0.2077025062485836,1.0
period1,sc01,t0518,1,0.250077916495469,1.0
period1,sc01,t0519,1,0.2714886508977305,1.0
period1,sc01,t0520,1,0.18927896050050805,1.0
period1,sc01,t0521,1,0.1115478083525058,1.0
period1,sc01,t0522,1,0.10055208028679109,1.0
period1,sc01,t0523,1,0.1173475286632296,1.0
period1,sc01,t0524,1,0.1642343207079341,1.0
period1,sc01,t0525,1,0.182049099188544,1.0
period1,sc01,t0526,1,0.24157071168185898,1.0
period1,sc01,t0527,1,0.2737322994309734,1.0
period1,sc01,t0528,1,0.3611528141241648,1.0
period1,sc01,t0529,1,0.41935736200296153,1.0
period1,sc01,t0530,1,0.4221618963470639,1.0
period1,sc01,t0531,1,0.40281419236617555,1.0
period1,sc01,t0532,1,0.3554271475971198,1.0
period1,sc01,t0533,1,0.3265283912070148,1.0
period1,sc01,t0534,1,0.3317742065958409,1.0
period1,sc01,t0535,1,0.33259386320932893,1.0
period1,sc01,t0536,1,0.3542811736660283,1.0
period1,sc01,t0537,1,0.31740674003620095,1.0
period1,sc01,t0538,1,0.33242049676267876,1.0
period1,sc01,t0539,1,0.3772570727557706,1.0
period1,sc01,t0540,1,0.3720245287380081,1.0
period1,sc01,t0541,1,0.35012275904427076,1.0
period1,sc01,t0542,1,0.3259484044705763,1.0
period1,sc01,t0543,1,0.2699634035745469,1.0
period1,sc01,t0544,1,0.3844325172172582,1.0
period1,sc01,t0545,1,0.5051267726795491,1.0
