,,,EleR_01,HydR_01
period1,sc01,t0583,0.023572923,132.8052
period1,sc01,t0584,0.031541235,132.8052
period1,sc01,t0585,0.036300088,132.8052
period1,sc01,t0586,0.111667039,132.8052
period1,sc01,t0587,0.186369964,132.8052
period1,sc01,t0588,0.20651208599999998,132.8052
period1,sc01,t0589,0.20308128500000003,132.8052
period1,sc01,t0590,0.202638601,132.8052
period1,sc01,t0591,0.20319195599999998,132.8052
period1,sc01,t0592,0.21116026799999998,132.8052
period1,sc01,t0593,0.22123132899999998,132.8052
period1,sc01,t0594,0.20916819,132.8052
period1,sc01,t0595,0.201753233,132.8052
period1,sc01,t0596,0.156378123,132.8052
period1,sc01,t0597,0.03873485,132.8052
period1,sc01,t0598,0.014829914,132.8052
period1,sc01,t0599,0.0005533550000000001,132.8052
period1,sc01,t0600,0.011841797,132.8052
period1,sc01,t0601,0.011841797,132.8052
period1,sc01,t0602,0.013723204,132.8052
period1,sc01,t0603,0.014829914,132.8052
period1,sc01,t0604,0.021802187,132.8052
period1,sc01,t0605,0.07038675600000001,132.8052
period1,sc01,t0606,0.179619033,132.8052
period1,sc01,t0607,0.20595873099999998,132.8052
