,,,EleR_01,HydR_01
period1,sc01,t0517, 0.401447167 ,
period1,sc01,t0518, 0.353255333 ,
period1,sc01,t0519, 0.304603167 ,
period1,sc01,t0520, 0.305510333 ,
period1,sc01,t0521, 0.349975 ,
period1,sc01,t0522, 0.462966333 ,
period1,sc01,t0523, 0.2886505 ,
period1,sc01,t0524, 0.250604167 ,
period1,sc01,t0525, 0.231823833 ,
period1,sc01,t0526, 0.223004 ,
period1,sc01,t0527, 0.211405667 ,
period1,sc01,t0528, 0.209279 ,
period1,sc01,t0529, 0.203290667 ,
period1,sc01,t0530, 0.201543 ,
period1,sc01,t0531, 0.200561667 ,
period1,sc01,t0532, 0.201866167 ,
period1,sc01,t0533, 0.203402333 ,
period1,sc01,t0534, 0.202882 ,
period1,sc01,t0535, 0.199046167 ,
period1,sc01,t0536, 0.209566667 ,
period1,sc01,t0537, 0.217196 ,
period1,sc01,t0538, 0.226585333 ,
period1,sc01,t0539, 0.237567833 ,
period1,sc01,t0540, 0.240380667 ,
period1,sc01,t0541, 0.239671 ,
period1,sc01,t0542, 0.2302375 ,
period1,sc01,t0543, 0.227153833 ,
period1,sc01,t0544, 0.228190833 ,
period1,sc01,t0545, 0.241420833 ,
period1,sc01,t0546, 0.253141833 ,
period1,sc01,t0547, 0.245402333 ,
period1,sc01,t0548, 0.234793333 ,
period1,sc01,t0549, 0.2271285 ,
period1,sc01,t0550, 0.215714167 ,
period1,sc01,t0551, 0.208906333 ,
period1,sc01,t0552, 0.210313833 ,
period1,sc01,t0553, 0.201560333 ,
period1,sc01,t0554, 0.1938745 ,
period1,sc01,t0555, 0.19176 ,
period1,sc01,t0556, 0.1905955 ,
period1,sc01,t0557, 0.191571667 ,
period1,sc01,t0558, 0.195182167 ,
period1,sc01,t0559, 0.193617167 ,
period1,sc01,t0560, 0.198265833 ,
period1,sc01,t0561, 0.203907667 ,
period1,sc01,t0562, 0.2032555 ,
period1,sc01,t0563, 0.207741 ,
period1,sc01,t0564, 0.209545167 ,
period1,sc01,t0565, 0.208046167 ,
period1,sc01,t0566, 0.206042167 ,
period1,sc01,t0567, 0.205640167 ,
period1,sc01,t0568, 0.209396833 ,
period1,sc01,t0569, 0.221836167 ,
period1,sc01,t0570, 0.235753 ,
period1,sc01,t0571, 0.234557167 ,
period1,sc01,t0572, 0.223008667 ,
period1,sc01,t0573, 0.212802667 ,
period1,sc01,t0574, 0.206999833 ,
period1,sc01,t0575, 0.2034115 ,
period1,sc01,t0576, 0.200885333 ,
period1,sc01,t0577, 0.185795167 ,
period1,sc01,t0578, 0.181974667 ,
period1,sc01,t0579, 0.182296167 ,
period1,sc01,t0580, 0.185074167 ,
period1,sc01,t0581, 0.188422667 ,
period1,sc01,t0582, 0.197808167 ,
period1,sc01,t0583, 0.221092333 ,
period1,sc01,t0584, 0.279048167 ,
period1,sc01,t0585, 0.312760667 ,
period1,sc01,t0586, 0.255325167 ,
period1,sc01,t0587, 0.309763833 ,
period1,sc01,t0588, 0.265738833 ,
period1,sc01,t0589, 0.231337 ,
