Period,Scenario,LoadLevel,Sell,Date
period1,sc01,t5199,6.961874509,2025-08-05 15:27:00
period1,sc01,t4814,6.958151742999999,2025-07-20 14:27:00
period1,sc01,t5962,6.956815938,2025-09-06 10:27:00
period1,sc01,t5148,6.95168132,2025-08-03 12:27:00
period1,sc01,t6154,6.9436293760000005,2025-09-14 10:27:00
period1,sc01,t3994,6.938121575,2025-06-16 10:27:00
period1,sc01,t3207,6.937994037,2025-05-14 15:27:00
period1,sc01,t4955,6.935474759,2025-07-26 11:27:00
period1,sc01,t5675,6.932604941,2025-08-25 11:27:00
period1,sc01,t2219,6.92755542,2025-04-03 11:27:00
period1,sc01,t4954,6.914449521,2025-07-26 10:27:00
period1,sc01,t5220,6.91250693,2025-08-06 12:27:00
period1,sc01,t3831,6.909554998,2025-06-09 15:27:00
period1,sc01,t1813,6.906487106,2025-03-17 13:27:00
period1,sc01,t4595,6.906168313999999,2025-07-11 11:27:00
period1,sc01,t6420,6.903872116,2025-09-25 12:27:00
period1,sc01,t5123,6.902010849,2025-08-02 11:27:00
period1,sc01,t6276,6.8955095879999995,2025-09-19 12:27:00
period1,sc01,t6683,6.891470105,2025-10-06 11:27:00
period1,sc01,t4042,6.87351055,2025-06-18 10:27:00
period1,sc01,t4329,6.8710148129999995,2025-06-30 09:27:00
period1,sc01,t5342,6.865332615,2025-08-11 14:27:00
period1,sc01,t3201,6.863954811,2025-05-14 09:27:00
period1,sc01,t2679,6.855753729,2025-04-22 15:27:00
period1,sc01,t5222,6.853240427999999,2025-08-06 14:27:00
period1,sc01,t5150,6.853185117,2025-08-03 14:27:00
period1,sc01,t3228,6.852251454000001,2025-05-15 12:27:00
period1,sc01,t4839,6.852074052,2025-07-21 15:27:00
period1,sc01,t6662,6.8460183080000006,2025-10-05 14:27:00
period1,sc01,t6442,6.84459379,2025-09-26 10:27:00
period1,sc01,t1357,6.839816991999999,2025-02-26 13:27:00
period1,sc01,t4833,6.8280729540000005,2025-07-21 09:27:00
period1,sc01,t1981,6.814308754,2025-03-24 13:27:00
period1,sc01,t2458,6.8128749626000005,2025-04-13 10:27:00
period1,sc01,t5270,6.809277303,2025-08-08 14:27:00
period1,sc01,t5100,6.8067975810000005,2025-08-01 12:27:00
period1,sc01,t5172,6.80662319,2025-08-04 12:27:00
period1,sc01,t4574,6.803993573,2025-07-10 14:27:00
period1,sc01,t3033,6.794217859,2025-05-07 09:27:00
period1,sc01,t5318,6.784314177,2025-08-10 14:27:00
period1,sc01,t3231,6.784146341,2025-05-15 15:27:00
period1,sc01,t3057,6.784064771000001,2025-05-08 09:27:00
period1,sc01,t5366,6.775351052,2025-08-12 14:27:00
period1,sc01,t5679,6.7750346619999995,2025-08-25 15:27:00
period1,sc01,t5174,6.774203554,2025-08-04 14:27:00
period1,sc01,t6278,6.759031112000001,2025-09-19 14:27:00
period1,sc01,t1309,6.755576581000001,2025-02-24 13:27:00
period1,sc01,t6661,6.753568143,2025-10-05 13:27:00
period1,sc01,t1381,6.753159696000001,2025-02-27 13:27:00
period1,sc01,t4525,6.7427616420000005,2025-07-08 13:27:00
period1,sc01,t5985,6.727726888,2025-09-07 09:27:00
period1,sc01,t5462,6.725970447,2025-08-16 14:27:00
period1,sc01,t2487,6.7216937828,2025-04-14 15:27:00
period1,sc01,t4212,6.720273152000001,2025-06-25 12:27:00
period1,sc01,t2482,6.7030148276,2025-04-14 10:27:00
period1,sc01,t3754,6.70080774,2025-06-06 10:27:00
period1,sc01,t4477,6.684792302,2025-07-06 13:27:00
period1,sc01,t4598,6.683544309999999,2025-07-11 14:27:00
period1,sc01,t5054,6.680211368,2025-07-30 14:27:00
period1,sc01,t3969,6.679819246999999,2025-06-15 09:27:00
period1,sc01,t4571,6.678800441,2025-07-10 11:27:00
period1,sc01,t3777,6.6775398489999995,2025-06-07 09:27:00
period1,sc01,t2943,6.669462113,2025-05-03 15:27:00
period1,sc01,t4789,6.668448591999999,2025-07-19 13:27:00
period1,sc01,t3086,6.661170187,2025-05-09 14:27:00
period1,sc01,t6226,6.6606498400000005,2025-09-17 10:27:00
period1,sc01,t2463,6.6593460375,2025-04-13 15:27:00
period1,sc01,t2967,6.659182295,2025-05-04 15:27:00
period1,sc01,t4237,6.6508133560000005,2025-06-26 13:27:00
period1,sc01,t5481,6.6379132,2025-08-17 09:27:00
period1,sc01,t4332,6.637190047,2025-06-30 12:27:00
period1,sc01,t4356,6.631890115,2025-07-01 12:27:00
period1,sc01,t4069,6.62907985,2025-06-19 13:27:00
period1,sc01,t4187,6.627526804,2025-06-24 11:27:00
period1,sc01,t5461,6.621615562000001,2025-08-16 13:27:00
period1,sc01,t4908,6.616880340000001,2025-07-24 12:27:00
period1,sc01,t4044,6.614449141,2025-06-18 12:27:00
period1,sc01,t2531,6.608014943000001,2025-04-16 11:27:00
period1,sc01,t6443,6.607916982,2025-09-26 11:27:00
period1,sc01,t3735,6.607357886,2025-06-05 15:27:00
period1,sc01,t3081,6.601422769,2025-05-09 09:27:00
period1,sc01,t3538,6.599844297,2025-05-28 10:27:00
period1,sc01,t5845,6.594548335000001,2025-09-01 13:27:00
period1,sc01,t3542,6.593282975999999,2025-05-28 14:27:00
