Period,Scenario,LoadLevel,Date,MWh,KWh,Type
period1,sc01,t0203,2025-01-09 11:27:00,-5.768,-5.768,NetDemand
period1,sc01,t0204,2025-01-09 12:27:00,-2.912,-2.912,NetDemand
period1,sc01,t0205,2025-01-09 13:27:00,-4.046,-4.046,NetDemand
period1,sc01,t0206,2025-01-09 14:27:00,-8.174,-8.174,NetDemand
period1,sc01,t0207,2025-01-09 15:27:00,-9.568000000000001,-9.568000000000001,NetDemand
period1,sc01,t0208,2025-01-09 16:27:00,-8.072,-8.072,NetDemand
period1,sc01,t0209,2025-01-09 17:27:00,-11.543000000000001,-11.543000000000001,NetDemand
period1,sc01,t0210,2025-01-09 18:27:00,-3.577,-3.577,NetDemand
period1,sc01,t0211,2025-01-09 19:27:00,-3.1710000000000003,-3.1710000000000003,NetDemand
period1,sc01,t0212,2025-01-09 20:27:00,-6.749,-6.749,NetDemand
period1,sc01,t0213,2025-01-09 21:27:00,-4.600999999999999,-4.600999999999999,NetDemand
period1,sc01,t0214,2025-01-09 22:27:00,-5.369,-5.369,NetDemand
period1,sc01,t0215,2025-01-09 23:27:00,-2.415,-2.415,NetDemand
period1,sc01,t0216,2025-01-10 00:27:00,-4.8549999999999995,-4.8549999999999995,NetDemand
period1,sc01,t0217,2025-01-10 01:27:00,-3.3770000000000002,-3.3770000000000002,NetDemand
period1,sc01,t0218,2025-01-10 02:27:00,-3.913,-3.913,NetDemand
period1,sc01,t0219,2025-01-10 03:27:00,-2.016,-2.016,NetDemand
period1,sc01,t0220,2025-01-10 04:27:00,-4.814,-4.814,NetDemand
period1,sc01,t0221,2025-01-10 05:27:00,-3.9909999999999997,-3.9909999999999997,NetDemand
period1,sc01,t0222,2025-01-10 06:27:00,-3.3390000000000004,-3.3390000000000004,NetDemand
period1,sc01,t0223,2025-01-10 07:27:00,-3.718,-3.718,NetDemand
period1,sc01,t0224,2025-01-10 08:27:00,-3.2520000000000007,-3.2520000000000007,NetDemand
period1,sc01,t0225,2025-01-10 09:27:00,-3.575,-3.575,NetDemand
period1,sc01,t0226,2025-01-10 10:27:00,-4.175,-4.175,NetDemand
period1,sc01,t0227,2025-01-10 11:27:00,-5.321000000000001,-5.321000000000001,NetDemand
period1,sc01,t0228,2025-01-10 12:27:00,-2.6390000000000002,-2.6390000000000002,NetDemand
period1,sc01,t0229,2025-01-10 13:27:00,-3.5799999999999996,-3.5799999999999996,NetDemand
period1,sc01,t0230,2025-01-10 14:27:00,-3.5100000000000002,-3.5100000000000002,NetDemand
period1,sc01,t0231,2025-01-10 15:27:00,-3.731,-3.731,NetDemand
period1,sc01,t0232,2025-01-10 16:27:00,-3.069000000000001,-3.069000000000001,NetDemand
period1,sc01,t0233,2025-01-10 17:27:00,-4.263999999999999,-4.263999999999999,NetDemand
period1,sc01,t0234,2025-01-10 18:27:00,-2.426,-2.426,NetDemand
period1,sc01,t0235,2025-01-10 19:27:00,-2.982,-2.982,NetDemand
period1,sc01,t0236,2025-01-10 20:27:00,-6.228000000000001,-6.228000000000001,NetDemand
period1,sc01,t0237,2025-01-10 21:27:00,-2.982,-2.982,NetDemand
period1,sc01,t0238,2025-01-10 22:27:00,-6.158,-6.158,NetDemand
period1,sc01,t0239,2025-01-10 23:27:00,-2.105,-2.105,NetDemand
period1,sc01,t0240,2025-01-11 00:27:00,-3.445,-3.445,NetDemand
period1,sc01,t0241,2025-01-11 01:27:00,-2.994,-2.994,NetDemand
period1,sc01,t0242,2025-01-11 02:27:00,-3.796,-3.796,NetDemand
period1,sc01,t0243,2025-01-11 03:27:00,-3.630000000000001,-3.630000000000001,NetDemand
period1,sc01,t0244,2025-01-11 04:27:00,-6.24,-6.24,NetDemand
period1,sc01,t0245,2025-01-11 05:27:00,-5.433999999999999,-5.433999999999999,NetDemand
period1,sc01,t0246,2025-01-11 06:27:00,-3.136000000000001,-3.136000000000001,NetDemand
period1,sc01,t0247,2025-01-11 07:27:00,-9.459999999999999,-9.459999999999999,NetDemand
period1,sc01,t0248,2025-01-11 08:27:00,-3.01,-3.01,NetDemand
period1,sc01,t0249,2025-01-11 09:27:00,-2.9330000000000003,-2.9330000000000003,NetDemand
period1,sc01,t0250,2025-01-11 10:27:00,-6.567,-6.567,NetDemand
period1,sc01,t0251,2025-01-11 11:27:00,-3.654,-3.654,NetDemand
period1,sc01,t0252,2025-01-11 12:27:00,-7.002470828,-7.002470828,NetDemand
period1,sc01,t0253,2025-01-11 13:27:00,-1.658865514,-1.658865514,NetDemand
period1,sc01,t0254,2025-01-11 14:27:00,-5.749430907,-5.749430907,NetDemand
period1,sc01,t0255,2025-01-11 15:27:00,-1.9494346359999999,-1.9494346359999999,NetDemand
period1,sc01,t0256,2025-01-11 16:27:00,-4.239999999999999,-4.239999999999999,NetDemand
period1,sc01,t0257,2025-01-11 17:27:00,-3.809,-3.809,NetDemand
period1,sc01,t0258,2025-01-11 18:27:00,-3.6209999999999996,-3.6209999999999996,NetDemand
period1,sc01,t0259,2025-01-11 19:27:00,-2.6390000000000002,-2.6390000000000002,NetDemand
period1,sc01,t0260,2025-01-11 20:27:00,-6.941,-6.941,NetDemand
period1,sc01,t0261,2025-01-11 21:27:00,-2.5390000000000006,-2.5390000000000006,NetDemand
period1,sc01,t0262,2025-01-11 22:27:00,-3.601,-3.601,NetDemand
period1,sc01,t0263,2025-01-11 23:27:00,-2.359,-2.359,NetDemand
period1,sc01,t0264,2025-01-12 00:27:00,-4.441000000000001,-4.441000000000001,NetDemand
period1,sc01,t0265,2025-01-12 01:27:00,-3.1160000000000005,-3.1160000000000005,NetDemand
period1,sc01,t0266,2025-01-12 02:27:00,-3.354,-3.354,NetDemand
period1,sc01,t0267,2025-01-12 03:27:00,-4.382,-4.382,NetDemand
period1,sc01,t0268,2025-01-12 04:27:00,-4.1080000000000005,-4.1080000000000005,NetDemand
period1,sc01,t0269,2025-01-12 05:27:00,-3.809,-3.809,NetDemand
period1,sc01,t0270,2025-01-12 06:27:00,-3.3210000000000006,-3.3210000000000006,NetDemand
period1,sc01,t0271,2025-01-12 07:27:00,-3.965,-3.965,NetDemand
period1,sc01,t0272,2025-01-12 08:27:00,-3.705,-3.705,NetDemand
period1,sc01,t0273,2025-01-12 09:27:00,-4.600999999999999,-4.600999999999999,NetDemand
period1,sc01,t0274,2025-01-12 10:27:00,-2.068398848,-2.068398848,NetDemand
period1,sc01,t0275,2025-01-12 11:27:00,-2.4668795080000003,-2.4668795080000003,NetDemand
period1,sc01,t0276,2025-01-12 12:27:00,-12.936406580999998,-12.936406580999998,NetDemand
period1,sc01,t0277,2025-01-12 13:27:00,-3.6704946719999993,-3.6704946719999993,NetDemand
period1,sc01,t0278,2025-01-12 14:27:00,-5.048024485,-5.048024485,NetDemand
period1,sc01,t0279,2025-01-12 15:27:00,-5.051173581,-5.051173581,NetDemand
period1,sc01,t0280,2025-01-12 16:27:00,-2.572478334,-2.572478334,NetDemand
period1,sc01,t0281,2025-01-12 17:27:00,-2.457,-2.457,NetDemand
period1,sc01,t0282,2025-01-12 18:27:00,-3.3529999999999998,-3.3529999999999998,NetDemand
period1,sc01,t0283,2025-01-12 19:27:00,-2.051,-2.051,NetDemand
period1,sc01,t0284,2025-01-12 20:27:00,-4.679,-4.679,NetDemand
period1,sc01,t0285,2025-01-12 21:27:00,-3.5649999999999995,-3.5649999999999995,NetDemand
period1,sc01,t0286,2025-01-12 22:27:00,-3.705,-3.705,NetDemand
period1,sc01,t0287,2025-01-12 23:27:00,-2.667,-2.667,NetDemand
period1,sc01,t0288,2025-01-13 00:27:00,-5.093,-5.093,NetDemand
period1,sc01,t0289,2025-01-13 01:27:00,-3.463,-3.463,NetDemand
period1,sc01,t0290,2025-01-13 02:27:00,-3.367,-3.367,NetDemand
period1,sc01,t0291,2025-01-13 03:27:00,-3.571999999999999,-3.571999999999999,NetDemand
period1,sc01,t0292,2025-01-13 04:27:00,-6.058,-6.058,NetDemand
period1,sc01,t0293,2025-01-13 05:27:00,-5.304,-5.304,NetDemand
period1,sc01,t0294,2025-01-13 06:27:00,-2.9459999999999997,-2.9459999999999997,NetDemand
period1,sc01,t0295,2025-01-13 07:27:00,-6.617,-6.617,NetDemand
period1,sc01,t0296,2025-01-13 08:27:00,-3.9530000000000003,-3.9530000000000003,NetDemand
period1,sc01,t0297,2025-01-13 09:27:00,-5.239000000000001,-5.239000000000001,NetDemand
