Period,Scenario,LoadLevel,TotalOutput,Date
period1,sc01,t5218,7.512250211,2025-08-06 10:27:00
period1,sc01,t5194,7.512228721,2025-08-05 10:27:00
period1,sc01,t5170,7.51220723,2025-08-04 10:27:00
period1,sc01,t5146,7.51218574,2025-08-03 10:27:00
period1,sc01,t5098,7.512142759,2025-08-01 10:27:00
period1,sc01,t5050,7.512099778,2025-07-30 10:27:00
period1,sc01,t4093,7.506773085,2025-06-20 13:27:00
period1,sc01,t5052,7.505913841,2025-07-30 12:27:00
period1,sc01,t5100,7.505797581,2025-08-01 12:27:00
period1,sc01,t5148,7.50568132,2025-08-03 12:27:00
period1,sc01,t5172,7.50562319,2025-08-04 12:27:00
period1,sc01,t5196,7.50556506,2025-08-05 12:27:00
period1,sc01,t5220,7.50550693,2025-08-06 12:27:00
period1,sc01,t5244,7.5054488,2025-08-07 12:27:00
period1,sc01,t5268,7.50539067,2025-08-08 12:27:00
period1,sc01,t5292,7.50533254,2025-08-09 12:27:00
period1,sc01,t5316,7.50527441,2025-08-10 12:27:00
period1,sc01,t5340,7.50521628,2025-08-11 12:27:00
period1,sc01,t5364,7.50515815,2025-08-12 12:27:00
period1,sc01,t4551,7.501990539,2025-07-09 15:27:00
period1,sc01,t3854,7.498463814,2025-06-10 14:27:00
period1,sc01,t6682,7.496247776,2025-10-06 10:27:00
period1,sc01,t4331,7.49298406,2025-06-30 11:27:00
period1,sc01,t3081,7.485422769,2025-05-09 09:27:00
period1,sc01,t4353,7.479541012,2025-07-01 09:27:00
period1,sc01,t4526,7.476289553,2025-07-08 14:27:00
period1,sc01,t4598,7.47454431,2025-07-11 14:27:00
period1,sc01,t3225,7.452672203,2025-05-15 09:27:00
period1,sc01,t0829,7.450292813,2025-02-04 13:27:00
period1,sc01,t4330,7.447983737,2025-06-30 10:27:00
period1,sc01,t6658,7.43886685,2025-10-05 10:27:00
period1,sc01,t4307,7.437826561,2025-06-29 11:27:00
period1,sc01,t5750,7.431449186,2025-08-28 14:27:00
period1,sc01,t6730,7.42424428,2025-10-08 10:27:00
period1,sc01,t4833,7.423072954,2025-07-21 09:27:00
period1,sc01,t4595,7.404168314,2025-07-11 11:27:00
period1,sc01,t0733,7.402939406,2025-01-31 13:27:00
period1,sc01,t4837,7.400708943,2025-07-21 13:27:00
period1,sc01,t3657,7.393340171,2025-06-02 09:27:00
period1,sc01,t4167,7.387108895,2025-06-23 15:27:00
period1,sc01,t5005,7.386173998,2025-07-28 13:27:00
period1,sc01,t2700,7.382466444,2025-04-23 12:27:00
period1,sc01,t1476,7.380844399,2025-03-03 12:27:00
period1,sc01,t4934,7.380266846,2025-07-25 14:27:00
period1,sc01,t7308,7.36834045,2025-11-01 12:27:00
period1,sc01,t4887,7.364972394,2025-07-23 15:27:00
period1,sc01,t5436,7.364154927,2025-08-15 12:27:00
period1,sc01,t2170,7.364002057,2025-04-01 10:27:00
period1,sc01,t6181,7.361820026,2025-09-15 13:27:00
period1,sc01,t3684,7.358404257,2025-06-03 12:27:00
period1,sc01,t3735,7.352357886,2025-06-05 15:27:00
period1,sc01,t6443,7.347916982,2025-09-26 11:27:00
period1,sc01,t3105,7.344578886,2025-05-10 09:27:00
period1,sc01,t2532,7.340452672,2025-04-16 12:27:00
period1,sc01,t6370,7.321945867,2025-09-23 10:27:00
period1,sc01,t5534,7.314472867,2025-08-19 14:27:00
period1,sc01,t3729,7.312913337,2025-06-05 09:27:00
period1,sc01,t3633,7.302541377,2025-06-01 09:27:00
period1,sc01,t4935,7.302394359,2025-07-25 15:27:00
period1,sc01,t3129,7.301507915,2025-05-11 09:27:00
