Period,Scenario,LoadLevel,Demand,Type,KWh,Date
period1,sc01,t0255,EleD_01,BaseDemand,2.8,2025-01-11 15:27:00
period1,sc01,t0256,EleD_01,BaseDemand,3.4,2025-01-11 16:27:00
period1,sc01,t0257,EleD_01,BaseDemand,2.93,2025-01-11 17:27:00
period1,sc01,t0258,EleD_01,BaseDemand,4.5,2025-01-11 18:27:00
period1,sc01,t0259,EleD_01,BaseDemand,3.77,2025-01-11 19:27:00
period1,sc01,t0260,EleD_01,BaseDemand,5.81,2025-01-11 20:27:00
period1,sc01,t0261,EleD_01,BaseDemand,3.37,2025-01-11 21:27:00
period1,sc01,t0262,EleD_01,BaseDemand,2.77,2025-01-11 22:27:00
period1,sc01,t0263,EleD_01,BaseDemand,3.37,2025-01-11 23:27:00
period1,sc01,t0264,EleD_01,BaseDemand,3.43,2025-01-12 00:27:00
period1,sc01,t0265,EleD_01,BaseDemand,3.89,2025-01-12 01:27:00
period1,sc01,t0266,EleD_01,BaseDemand,2.58,2025-01-12 02:27:00
period1,sc01,t0267,EleD_01,BaseDemand,5.33,2025-01-12 03:27:00
period1,sc01,t0268,EleD_01,BaseDemand,3.16,2025-01-12 04:27:00
period1,sc01,t0269,EleD_01,BaseDemand,2.93,2025-01-12 05:27:00
period1,sc01,t0270,EleD_01,BaseDemand,4.2,2025-01-12 06:27:00
period1,sc01,t0271,EleD_01,BaseDemand,3.05,2025-01-12 07:27:00
period1,sc01,t0272,EleD_01,BaseDemand,4.62,2025-01-12 08:27:00
period1,sc01,t0273,EleD_01,BaseDemand,3.71,2025-01-12 09:27:00
period1,sc01,t0274,EleD_01,BaseDemand,2.97,2025-01-12 10:27:00
period1,sc01,t0275,EleD_01,BaseDemand,3.66,2025-01-12 11:27:00
period1,sc01,t0276,EleD_01,BaseDemand,11.93,2025-01-12 12:27:00
period1,sc01,t0277,EleD_01,BaseDemand,4.93,2025-01-12 13:27:00
period1,sc01,t0278,EleD_01,BaseDemand,3.94,2025-01-12 14:27:00
period1,sc01,t0279,EleD_01,BaseDemand,4.0,2025-01-12 15:27:00
period1,sc01,t0280,EleD_01,BaseDemand,3.68,2025-01-12 16:27:00
period1,sc01,t0281,EleD_01,BaseDemand,1.89,2025-01-12 17:27:00
period1,sc01,t0282,EleD_01,BaseDemand,3.92,2025-01-12 18:27:00
period1,sc01,t0283,EleD_01,BaseDemand,2.93,2025-01-12 19:27:00
period1,sc01,t0284,EleD_01,BaseDemand,3.8,2025-01-12 20:27:00
period1,sc01,t0285,EleD_01,BaseDemand,4.42,2025-01-12 21:27:00
period1,sc01,t0286,EleD_01,BaseDemand,2.85,2025-01-12 22:27:00
period1,sc01,t0287,EleD_01,BaseDemand,3.81,2025-01-12 23:27:00
period1,sc01,t0288,EleD_01,BaseDemand,3.95,2025-01-13 00:27:00
period1,sc01,t0289,EleD_01,BaseDemand,4.24,2025-01-13 01:27:00
period1,sc01,t0290,EleD_01,BaseDemand,2.59,2025-01-13 02:27:00
period1,sc01,t0291,EleD_01,BaseDemand,4.97,2025-01-13 03:27:00
period1,sc01,t0292,EleD_01,BaseDemand,4.66,2025-01-13 04:27:00
period1,sc01,t0293,EleD_01,BaseDemand,4.08,2025-01-13 05:27:00
period1,sc01,t0294,EleD_01,BaseDemand,4.17,2025-01-13 06:27:00
period1,sc01,t0295,EleD_01,BaseDemand,5.09,2025-01-13 07:27:00
period1,sc01,t0296,EleD_01,BaseDemand,5.48,2025-01-13 08:27:00
period1,sc01,t0297,EleD_01,BaseDemand,4.03,2025-01-13 09:27:00
period1,sc01,t0298,EleD_01,BaseDemand,4.04,2025-01-13 10:27:00
period1,sc01,t0299,EleD_01,BaseDemand,3.99,2025-01-13 11:27:00
period1,sc01,t0300,EleD_01,BaseDemand,3.94,2025-01-13 12:27:00
