,,,Solar_01,BESS_01,EV_01,AEL_01,PEMEL_01,EV_02,EV_03,EV_04,EV_05,EV_06,EV_07,EV_08,EV_09,EV_10,EV_11,EV_12,EV_13,EV_14,EV_15,EV_16,EV_17,EV_18,EV_19,EV_20
period1,sc01,t0281, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0282, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0283, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0284, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0285, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0286, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0287, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0288, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0289, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0290, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0291, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0292, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0293, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0294, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0295, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0296, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0297, 0.0000449 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0298, 0.109245927 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0299, 0.187124541 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0300, 1.163030309 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0301, 2.197908843 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0302, 1.088221811 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0303, 0.144394022 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0304, 0.024650838 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0305, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0306, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0307, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0308, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0309, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0310, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0311, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0312, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0313, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0314, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0315, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
